Date,Location,Mall,On_Off_Cmd,A/M_Status,Run_Status,Trip_Status,Schedule_Mode,Time_Schedule,Power_Consumption_in_kwh,Filter_Status,Indoor_Temperature,Airflow_Rates_in_CFM,Month,Is_Weekend,Season,Climate_Prone,Outdoor_Temperature,Occupancy,Fan_Speed,Air_Filter,Air_Quality_PPM,Power_consumption_kwh
2021-01-22,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.3,Clean,23,375.0,,,,,,,,,,
2021-01-23,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.3,Dirty,15,487.0,,,,,,,,,,
2021-01-24,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.4,Dirty,16,408.0,,,,,,,,,,
2021-01-25,Bangalore,Marketcity,On,Auto,On,Trip,Off,Off,2.1,Clean,25,499.0,,,,,,,,,,
2021-01-26,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,1.9,Clean,27,449.0,,,,,,,,,,
2021-01-27,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.4,Clean,26,424.0,,,,,,,,,,
2021-01-28,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.1,Clean,18,434.0,,,,,,,,,,
2021-01-29,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.1,Clean,16,409.0,,,,,,,,,,
2021-01-30,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.0,Clean,20,384.0,,,,,,,,,,
2021-01-31,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.0,Clean,24,447.0,,,,,,,,,,
2021-02-01,Bangalore,Marketcity,On,Manual,On,Trip,Off,Off,2.0,Clean,26,490.0,,,,,,,,,,
2021-02-02,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.2,Dirty,19,381.0,,,,,,,,,,
2021-02-03,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.3,Clean,22,363.0,,,,,,,,,,
2021-02-04,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.5,Clean,21,425.0,,,,,,,,,,
2021-02-05,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.0,Clean,23,479.0,,,,,,,,,,
2021-02-06,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.2,Clean,19,454.0,,,,,,,,,,
2021-02-07,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.3,Dirty,21,423.0,,,,,,,,,,
2021-02-08,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.1,Dirty,27,452.0,,,,,,,,,,
2021-02-09,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.1,Clean,18,361.0,,,,,,,,,,
2021-02-10,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.4,Dirty,22,374.0,,,,,,,,,,
2021-02-11,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,1.8,Clean,16,452.0,,,,,,,,,,
2021-02-12,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.1,Clean,21,486.0,,,,,,,,,,
2021-02-13,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.2,Dirty,24,396.0,,,,,,,,,,
2021-02-14,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.3,Clean,22,421.0,,,,,,,,,,
2021-02-15,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.1,Dirty,27,400.0,,,,,,,,,,
2021-02-16,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.1,Clean,24,455.0,,,,,,,,,,
2021-02-17,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.4,Clean,25,449.0,,,,,,,,,,
2021-02-18,Bangalore,Marketcity,On,Manual,On,Trip,Off,Off,2.4,Dirty,18,450.0,,,,,,,,,,
2021-02-19,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.0,Clean,16,430.0,,,,,,,,,,
2021-02-20,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.1,Clean,15,489.0,,,,,,,,,,
2021-02-21,Bangalore,Marketcity,On,Auto,Off,Normal,Off,Off,0.0,Clean,19,0.0,,,,,,,,,,
2021-02-22,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.1,Clean,20,398.0,,,,,,,,,,
2021-02-23,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.4,Clean,24,413.0,,,,,,,,,,
2021-02-24,Bangalore,Marketcity,On,Auto,On,Trip,Scheduled,Scheduled,2.5,Clean,25,412.0,,,,,,,,,,
2021-02-25,Bangalore,Marketcity,On,Auto,On,Trip,Scheduled,Scheduled,1.9,Clean,26,470.0,,,,,,,,,,
2021-02-26,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.4,Clean,26,425.0,,,,,,,,,,
2021-02-27,Bangalore,Marketcity,On,Auto,On,Trip,Off,Off,2.0,Dirty,22,402.0,,,,,,,,,,
2021-02-28,Bangalore,Marketcity,On,Auto,Off,Normal,Off,Off,0.0,Dirty,22,0.0,,,,,,,,,,
2021-03-01,Bangalore,Marketcity,On,Manual,On,Trip,Off,Off,1.9,Dirty,27,434.0,,,,,,,,,,
2021-03-02,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.0,Dirty,26,425.0,,,,,,,,,,
2021-03-03,Bangalore,Marketcity,On,Auto,On,Trip,Off,Off,2.2,Clean,19,366.0,,,,,,,,,,
2021-03-04,Bangalore,Marketcity,On,Auto,Off,Normal,Off,Off,0.0,Clean,19,0.0,,,,,,,,,,
2021-03-05,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.0,Clean,24,423.0,,,,,,,,,,
2021-03-06,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.4,Dirty,23,396.0,,,,,,,,,,
2021-03-07,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,1.8,Clean,20,465.0,,,,,,,,,,
2021-03-08,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.4,Dirty,23,484.0,,,,,,,,,,
2021-03-09,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.4,Clean,19,382.0,,,,,,,,,,
2021-03-10,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.5,Clean,19,356.0,,,,,,,,,,
2021-03-11,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.2,Dirty,23,433.0,,,,,,,,,,
2021-03-12,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,1.8,Clean,27,439.0,,,,,,,,,,
2021-03-13,Bangalore,Marketcity,On,Auto,On,Trip,Off,Off,2.0,Clean,18,385.0,,,,,,,,,,
2021-03-14,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,1.8,Clean,27,402.0,,,,,,,,,,
2021-03-15,Bangalore,Marketcity,On,Manual,On,Trip,Scheduled,Scheduled,2.3,Dirty,23,373.0,,,,,,,,,,
2021-03-16,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.4,Clean,18,408.0,,,,,,,,,,
2021-03-17,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.2,Clean,23,392.0,,,,,,,,,,
2021-03-18,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.3,Clean,25,449.0,,,,,,,,,,
2021-03-19,Bangalore,Marketcity,On,Manual,On,Trip,Scheduled,Scheduled,2.3,Clean,21,404.0,,,,,,,,,,
2021-03-20,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.4,Dirty,15,351.0,,,,,,,,,,
2021-03-21,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.2,Clean,25,385.0,,,,,,,,,,
2021-03-22,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,1.8,Clean,21,476.0,,,,,,,,,,
2021-03-23,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.3,Clean,24,425.0,,,,,,,,,,
2021-03-24,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.4,Clean,16,362.0,,,,,,,,,,
2021-03-25,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.0,Clean,17,442.0,,,,,,,,,,
2021-03-26,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.1,Dirty,26,484.0,,,,,,,,,,
2021-03-27,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.2,Clean,25,484.0,,,,,,,,,,
2021-03-28,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.4,Clean,19,363.0,,,,,,,,,,
2021-03-29,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.2,Clean,23,497.0,,,,,,,,,,
2021-03-30,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,1.9,Clean,19,394.0,,,,,,,,,,
2021-03-31,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.4,Clean,18,411.0,,,,,,,,,,
2021-04-01,Bangalore,Marketcity,On,Manual,On,Trip,Off,Off,2.4,Clean,27,473.0,,,,,,,,,,
2021-04-02,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.3,Clean,21,442.0,,,,,,,,,,
2021-04-03,Bangalore,Marketcity,On,Manual,On,Trip,Scheduled,Scheduled,1.9,Clean,15,424.0,,,,,,,,,,
2021-04-04,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.0,Clean,15,482.0,,,,,,,,,,
2021-04-05,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.5,Clean,15,455.0,,,,,,,,,,
2021-04-06,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.1,Dirty,22,477.0,,,,,,,,,,
2021-04-07,Bangalore,Marketcity,On,Manual,Off,Normal,Off,Off,0.0,Dirty,24,0.0,,,,,,,,,,
2021-04-08,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.0,Clean,18,389.0,,,,,,,,,,
2021-04-09,Bangalore,Marketcity,On,Manual,Off,Normal,Off,Off,0.0,Clean,17,0.0,,,,,,,,,,
2021-04-10,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.2,Clean,22,430.0,,,,,,,,,,
2021-04-11,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,1.9,Clean,18,406.0,,,,,,,,,,
2021-04-12,Bangalore,Marketcity,On,Auto,On,Trip,Scheduled,Scheduled,2.4,Clean,26,466.0,,,,,,,,,,
2021-04-13,Bangalore,Marketcity,On,Manual,On,Trip,Scheduled,Scheduled,2.0,Clean,22,398.0,,,,,,,,,,
2021-04-14,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.0,Clean,24,477.0,,,,,,,,,,
2021-04-15,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.2,Clean,17,468.0,,,,,,,,,,
2021-04-16,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,1.9,Clean,27,497.0,,,,,,,,,,
2021-04-17,Bangalore,Marketcity,On,Auto,On,Trip,Scheduled,Scheduled,2.2,Clean,18,494.0,,,,,,,,,,
2021-04-18,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.0,Clean,20,485.0,,,,,,,,,,
2021-04-19,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.1,Clean,25,476.0,,,,,,,,,,
2021-04-20,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.3,Clean,24,393.0,,,,,,,,,,
2021-04-21,Bangalore,Marketcity,On,Auto,Off,Normal,Off,Off,0.0,Clean,19,0.0,,,,,,,,,,
2021-04-22,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.4,Clean,19,477.0,,,,,,,,,,
2021-04-23,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.1,Clean,27,454.0,,,,,,,,,,
2021-04-24,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.2,Clean,21,413.0,,,,,,,,,,
2021-04-25,Bangalore,Marketcity,On,Auto,On,Trip,Scheduled,Scheduled,2.2,Clean,22,374.0,,,,,,,,,,
2021-04-26,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.3,Clean,22,480.0,,,,,,,,,,
2021-04-27,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,1.9,Dirty,20,492.0,,,,,,,,,,
2021-04-28,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,1.9,Clean,27,382.0,,,,,,,,,,
2021-04-29,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,1.8,Clean,16,492.0,,,,,,,,,,
2021-04-30,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.1,Clean,27,492.0,,,,,,,,,,
2021-05-01,Bangalore,Marketcity,On,Manual,On,Trip,Scheduled,Scheduled,2.3,Clean,26,457.0,,,,,,,,,,
2021-05-02,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.4,Clean,24,401.0,,,,,,,,,,
2021-05-03,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.0,Clean,23,424.0,,,,,,,,,,
2021-05-04,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.0,Clean,21,357.0,,,,,,,,,,
2021-05-05,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.0,Clean,22,380.0,,,,,,,,,,
2021-05-06,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.2,Clean,23,467.0,,,,,,,,,,
2021-05-07,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.2,Clean,25,468.0,,,,,,,,,,
2021-05-08,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.2,Clean,25,469.0,,,,,,,,,,
2021-05-09,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.0,Dirty,17,488.0,,,,,,,,,,
2021-05-10,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.1,Clean,27,353.0,,,,,,,,,,
2021-05-11,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.0,Clean,24,456.0,,,,,,,,,,
2021-05-12,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,1.8,Clean,17,462.0,,,,,,,,,,
2021-05-13,Bangalore,Marketcity,On,Auto,On,Trip,Scheduled,Scheduled,2.2,Clean,15,455.0,,,,,,,,,,
2021-05-14,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.4,Clean,15,496.0,,,,,,,,,,
2021-05-15,Bangalore,Marketcity,On,Manual,On,Trip,Off,Off,2.5,Clean,26,449.0,,,,,,,,,,
2021-05-16,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.1,Clean,27,433.0,,,,,,,,,,
2021-05-17,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.5,Clean,23,419.0,,,,,,,,,,
2021-05-18,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,1.9,Clean,27,471.0,,,,,,,,,,
2021-05-19,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.5,Clean,24,404.0,,,,,,,,,,
2021-05-20,Bangalore,Marketcity,On,Auto,On,Trip,Off,Off,1.8,Clean,16,469.0,,,,,,,,,,
2021-05-21,Bangalore,Marketcity,On,Manual,On,Trip,Scheduled,Scheduled,2.2,Dirty,26,466.0,,,,,,,,,,
2021-05-22,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.3,Clean,27,464.0,,,,,,,,,,
2021-05-23,Bangalore,Marketcity,On,Manual,On,Trip,Off,Off,2.3,Clean,25,393.0,,,,,,,,,,
2021-05-24,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.3,Clean,20,436.0,,,,,,,,,,
2021-05-25,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.3,Clean,26,493.0,,,,,,,,,,
2021-05-26,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.3,Clean,25,434.0,,,,,,,,,,
2021-05-27,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,1.8,Clean,21,472.0,,,,,,,,,,
2021-05-28,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,1.9,Clean,21,403.0,,,,,,,,,,
2021-05-29,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,1.9,Clean,19,479.0,,,,,,,,,,
2021-05-30,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.0,Clean,20,435.0,,,,,,,,,,
2021-05-31,Bangalore,Marketcity,On,Manual,Off,Normal,Off,Off,0.0,Clean,24,0.0,,,,,,,,,,
2021-06-01,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.2,Clean,23,389.0,,,,,,,,,,
2021-06-02,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.1,Clean,16,433.0,,,,,,,,,,
2021-06-03,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.0,Dirty,17,464.0,,,,,,,,,,
2021-06-04,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.0,Clean,27,438.0,,,,,,,,,,
2021-06-05,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,1.9,Clean,15,399.0,,,,,,,,,,
2021-06-06,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,1.9,Clean,19,360.0,,,,,,,,,,
2021-06-07,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.4,Clean,19,431.0,,,,,,,,,,
2021-06-08,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.1,Clean,18,443.0,,,,,,,,,,
2021-06-09,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.4,Clean,23,403.0,,,,,,,,,,
2021-06-10,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.3,Clean,24,461.0,,,,,,,,,,
2021-06-11,Bangalore,Marketcity,On,Manual,On,Trip,Off,Off,2.3,Clean,17,372.0,,,,,,,,,,
2021-06-12,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.0,Clean,18,447.0,,,,,,,,,,
2021-06-13,Bangalore,Marketcity,On,Auto,On,Trip,Off,Off,2.2,Clean,25,489.0,,,,,,,,,,
2021-06-14,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.1,Clean,26,377.0,,,,,,,,,,
2021-06-15,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.0,Clean,24,379.0,,,,,,,,,,
2021-06-16,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.1,Dirty,24,422.0,,,,,,,,,,
2021-06-17,Bangalore,Marketcity,On,Manual,Off,Normal,Off,Off,0.0,Dirty,22,0.0,,,,,,,,,,
2021-06-18,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.1,Clean,17,424.0,,,,,,,,,,
2021-06-19,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.0,Dirty,18,363.0,,,,,,,,,,
2021-06-20,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.3,Clean,25,435.0,,,,,,,,,,
2021-06-21,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.1,Clean,25,372.0,,,,,,,,,,
2021-06-22,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,1.9,Dirty,15,492.0,,,,,,,,,,
2021-06-23,Bangalore,Marketcity,On,Manual,Off,Normal,Off,Off,0.0,Dirty,21,0.0,,,,,,,,,,
2021-06-24,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.1,Clean,27,493.0,,,,,,,,,,
2021-06-25,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.4,Clean,21,358.0,,,,,,,,,,
2021-06-26,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.4,Clean,24,469.0,,,,,,,,,,
2021-06-27,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,1.9,Clean,27,401.0,,,,,,,,,,
2021-06-28,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.3,Clean,24,358.0,,,,,,,,,,
2021-06-29,Bangalore,Marketcity,On,Auto,On,Trip,Off,Off,2.2,Clean,18,386.0,,,,,,,,,,
2021-06-30,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.2,Clean,26,402.0,,,,,,,,,,
2021-07-01,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.1,Clean,26,461.0,,,,,,,,,,
2021-07-02,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.3,Clean,27,354.0,,,,,,,,,,
2021-07-03,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.5,Clean,27,360.0,,,,,,,,,,
2021-07-04,Bangalore,Marketcity,On,Manual,On,Trip,Scheduled,Scheduled,2.2,Clean,19,489.0,,,,,,,,,,
2021-07-05,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.1,Clean,27,494.0,,,,,,,,,,
2021-07-06,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.3,Clean,27,360.0,,,,,,,,,,
2021-07-07,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.1,Clean,24,452.0,,,,,,,,,,
2021-07-08,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,1.9,Clean,25,358.0,,,,,,,,,,
2021-07-09,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.0,Clean,27,352.0,,,,,,,,,,
2021-07-10,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.0,Dirty,20,480.0,,,,,,,,,,
2021-07-11,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,1.9,Clean,19,459.0,,,,,,,,,,
2021-07-12,Bangalore,Marketcity,On,Auto,On,Trip,Off,Off,1.8,Clean,27,354.0,,,,,,,,,,
2021-07-13,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.1,Clean,21,499.0,,,,,,,,,,
2021-07-14,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,1.9,Clean,22,422.0,,,,,,,,,,
2021-07-15,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,1.8,Clean,18,463.0,,,,,,,,,,
2021-07-16,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.0,Clean,27,360.0,,,,,,,,,,
2021-07-17,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,1.9,Clean,24,412.0,,,,,,,,,,
2021-07-18,Bangalore,Marketcity,On,Manual,On,Normal,Off,Off,2.5,Clean,22,409.0,,,,,,,,,,
2021-07-19,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.0,Clean,23,409.0,,,,,,,,,,
2021-07-20,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.4,Clean,22,459.0,,,,,,,,,,
2021-07-21,Bangalore,Marketcity,On,Manual,Off,Normal,Off,Off,0.0,Clean,17,0.0,,,,,,,,,,
2021-07-22,Bangalore,Marketcity,On,Auto,Off,Normal,Off,Off,0.0,Clean,18,0.0,,,,,,,,,,
2021-07-23,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.4,Clean,23,364.0,,,,,,,,,,
2021-07-24,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.1,Clean,25,385.0,,,,,,,,,,
2021-07-25,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.2,Clean,25,376.0,,,,,,,,,,
2021-07-26,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.0,Clean,26,454.0,,,,,,,,,,
2021-07-27,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,2.3,Clean,25,371.0,,,,,,,,,,
2021-07-28,Bangalore,Marketcity,On,Auto,On,Normal,Scheduled,Scheduled,2.3,Dirty,17,496.0,,,,,,,,,,
2021-07-29,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,1.9,Clean,23,409.0,,,,,,,,,,
2021-07-30,Bangalore,Marketcity,On,Manual,On,Normal,Scheduled,Scheduled,2.0,Clean,17,475.0,,,,,,,,,,
2021-07-31,Bangalore,Marketcity,On,Auto,On,Normal,Off,Off,1.9,Dirty,16,445.0,,,,,,,,,,
2021-08-01,Bangalore,Marketcity,On,Manual,On,Trip,Off,Off,1.9,Clean,23,364.0,,,,,,,,,,
